t1_ProductID,ratio,virus_event_count,total_event_count
0cdb7a,1,2,2
8452da,1,4,4
218578,0.30769230769230771,4,13
3ea8c3,0.16445458316051431,793,4822
8541a0,0.0411522633744856,10,243
c105a0,0.16068111455108358,519,3230
c76d58,0.057071069633883705,318,5572
262880,0.33333333333333331,3,9
75f310,0.66666666666666663,4,6
d465fc,0.1246040126715945,118,947
7acab3,0.10682244940538285,1024,9586
e47f04,0.19148936170212766,279,1457
885fab,0.17826086956521739,287,1610
533133,0.20900321543408359,65,311
dd8d4a,0.54545454545454541,6,11
20f8a5,0.095588235294117641,182,1904
055649,0.078116983068240123,609,7796
b93794,0.11357340720221606,82,722
634e6b,0.14334292440491761,548,3823
