t1_CustomerID,ratio,virus_event_count,total_event_count
0a62a8c9b4afcfe94b292287ebb4bca0,0.03125,1,32
81d820dbe7b124ca91585f58a9c7d322,0.03125,1,32
929058c4c90332271391cdad2d8ac839,0.03125,1,32
d4c52d8dc0f118b6d7357e46554e92da,0.03125,1,32
612875b30b6a24189a0cf09dc4bbc18c,0.03125,1,32
56bf56199d5d302e1d61511d7b81e776,0.03125,1,32
3daf0b765a448760af076c858869c0f2,0.03125,1,32
d86e70f6df568fbe9a0a91fe7e525bbb,0.0625,1,16
3e457a7e7ec79a2f5706c923e1315f85,0.0625,1,16
f65076e9ffb753a088f9dfabd29ee36c,0.0625,1,16
61f15ce8780bb550a73f5e7cc2eee34f,0.0625,1,16
1f682aa1329a7dc206d8b83eb2d25730,0.0625,1,16
471d5a98644e35de6f3a003c3f2d81ac,0.0625,1,16
ecdb11e5331523de6ce128bbcdd64cc6,0.0625,1,16
aa4f188ce40d47c3a9c3d19af3204b94,0.0625,1,16
d643ca48293e6763e335192decf4f490,0.0625,1,16
3912df08c2853027e2e08dad5ec5a8ae,0.0625,1,16
701caf518708c7957ba0c37c47bbc9ba,0.0625,1,16
fa15a3dd53e1c95a381d1fe7baf06c83,0.0625,1,16
e7daedbf01d1ca2f26c315ada6b585f8,0.0625,1,16
fb9bb7def2eb76af84a8f852ce218369,0.0625,1,16
2153e357f67a961f0b6b4d3178ca5bbd,0.0625,1,16
5ccebe8f803a9335ba029cd84104d90d,0.0625,1,16
0a30ca5913a2e39a13d11db44ceabf8f,0.0625,1,16
ac02ac0d4470f997747ae3d67a57cdab,0.0625,1,16
b1831ca01ee3f245aaada06b50f84bd6,0.0625,1,16
8d704cf8103074ae4993bb072aaa13ca,0.0625,1,16
0ac90cdd42f58b13476f2d17d02904d0,0.0625,1,16
82c2015f04a53835efbf6bead6cdb7a5,0.0625,1,16
374097db2cf88a344f87437b4b28258e,0.0625,1,16
78e3fda0be0eae9586653e43ae0c505b,0.0625,1,16
e64d9d4f34b0383ca29ebb9429c1a6b2,0.0625,1,16
253d0612fa0eb9a6f569eb7203036774,0.0625,1,16
675495453d91245fb39179f2728034d3,0.0625,1,16
d938c5c59ecdc7bc4637619065f39f06,0.0625,1,16
839375628200ede6635bd5f56fcc1fa3,0.0625,1,16
fda2b23039326f5cc0c6e4a4a2bfe004,0.0625,1,16
6ab1db9fef9c79070d1ffbb05c05ec6d,0.0625,1,16
c3ba40110d82d6913c1a53651e25c5e7,0.0625,1,16
f1085ec7276532fabba6e812b45f02d1,0.0625,1,16
5c7bf7821a2e156f16124907d96308bd,0.0625,1,16
9d788f16fd488ed57d4024ef7d2cd535,0.0625,1,16
e44887b5e9b2806adf6f77844ed31d43,0.0625,1,16
cb3fbcefb39327f9e130a6d5029461d0,0.0625,1,16
8b58935896a860b0ad1fb8c0a7d1b379,0.0625,1,16
dea237a70fae62069380a75a4663f91b,0.0625,1,16
f94d5da38a89070f88726d3cb7a2833d,0.0625,1,16
e5e7af861c9d609c6bf6bdba41f8ee51,0.0625,1,16
fc4a8da4ae2cc030f820f3f120b8e7af,0.0625,1,16
