t1_ProductID,ratio,virus_event_count,total_event_count
fec24f,1,1,1
262880,0.33333333333333331,2,6
0cdb7a,0.5,3,6
75f310,0.42857142857142855,3,7
8452da,0.75,3,4
a310bb,0.013888888888888888,3,216
e47f04,0.17751884852638794,259,1459
26a5d0,0.017391304347826087,4,230
218578,0.23529411764705882,4,17
dd8d4a,0.5714285714285714,8,14
8541a0,0.048387096774193547,12,248
7acab3,0.10715763342987174,1036,9668
885fab,0.17732366512854317,269,1517
c105a0,0.16546083674111356,526,3179
634e6b,0.1411108158384268,531,3763
533133,0.17532467532467533,54,308
c76d58,0.055252507478444485,314,5683
b93794,0.13293943870014771,90,677
d465fc,0.11502590673575129,111,965
055649,0.083728683164508266,653,7799
20f8a5,0.10220548682087144,190,1859
3ea8c3,0.15982218458933106,755,4724
