t1_ProductID,ratio,virus_event_count,total_event_count
0cdb7a,1,1,1
8452da,1,4,4
fec24f,0.75,3,4
75f310,0.33333333333333331,2,6
262880,0.2857142857142857,2,7
218578,0.5,4,8
dd8d4a,0.73333333333333328,11,15
533133,0.18333333333333332,55,300
e47f04,0.16774658027357811,233,1389
7acab3,0.10374873353596757,1024,9870
c76d58,0.055660865069791489,323,5803
634e6b,0.13829483889364128,485,3507
a310bb,0.016042780748663103,3,187
20f8a5,0.098029307731177365,194,1979
c105a0,0.1584553928095872,476,3004
26a5d0,0.033980582524271843,7,206
d465fc,0.12040816326530612,118,980
b93794,0.10743801652892562,78,726
3ea8c3,0.16062176165803108,775,4825
055649,0.080809319435928881,659,8155
885fab,0.15201586252478519,230,1513
8541a0,0.05128205128205128,12,234
