t1_CustomerID,ratio,virus_event_count,total_event_count
dfaaac189fa8fd764c4f8c92fcb03efb,0.015625,1,64
92bda49f2705f9b24397666ff0c243d6,0.03125,1,32
8d89b27bc430d8754ac9290202da97d2,0.03125,1,32
11f245a2918032fc8cd948d6b22191ec,0.03125,1,32
18eb7391cf0b77d87adbf53364e08c53,0.03125,1,32
c0522d4cb0db2a8e0add6cf13de71c95,0.0625,1,16
967a20d362c63514581472f1eb71c993,0.0625,1,16
4eb2e9e6d1656fc785bd64e787d55924,0.0625,1,16
f1b43213c86360c51dfdf7194ec99080,0.0625,1,16
5a9e18ff1d2c14ead70d7453eb724e2e,0.0625,1,16
42000f7b47d09e156009338eb2502909,0.0625,1,16
44cf5f7009253927e16b2b9c0d24c3d6,0.0625,1,16
d750d98158e445bde53e15d9a785809d,0.0625,1,16
57eeb9ceefc1866b820afba71de6e6cb,0.0625,1,16
cf1d551e3778e6f0dcd73dd2c86ee69d,0.0625,1,16
955c7b6d168bc8ed4f911a40909891ef,0.0625,1,16
757c6ec97269f0674c61956c97c4495a,0.0625,1,16
dafc5a9c13e4291e5c306d21606da990,0.0625,1,16
6567801cab84305852b26e9db01f92ac,0.0625,1,16
56a6f2f2ae1249ae9634b68e425ba8e6,0.0625,1,16
1a7fef65e976d3c5b6e10d7edddc30ba,0.0625,1,16
7cdb70ac4d0a4686e0a386493d8ef001,0.0625,1,16
27a67c42133e9ee21f4c285a632a9367,0.0625,1,16
7a953902b3ffc8a8aed36501946a6c6d,0.0625,1,16
8ee02b213520fb90a307e43ec53b8582,0.0625,1,16
aa2bf11cebf517688550050ecfc7713a,0.0625,1,16
0d6b4741ef583c09e9bb483fee518b68,0.0625,1,16
8d4e8f84003faee7bfba2e7d2f5d2e11,0.0625,1,16
bdad135be88be701f59b5563da928916,0.0625,1,16
e9db4e4241fc60c5cba53954509bd8ec,0.0625,1,16
cdf84a10ef12b87b69a5506d06b59c79,0.0625,1,16
6e5dfdc4db64097f98031f916221a783,0.0625,1,16
2f49a5b850c00a21adc94c269b7c2eb4,0.0625,1,16
eba4aaf94db68e8add615cf2cab0ef1e,0.0625,1,16
b8d2b8e27253cf26c11ea1916e7087b3,0.0625,1,16
ae2149fd78bfc9796c0e0cc6ea047064,0.0625,1,16
c03a49f6d561a4e1b8095453ce41e9b6,0.0625,1,16
888a0e26e46f23fe9f019f56c3cc92f6,0.0625,1,16
9497ec39005e62ad178fdc31e374551e,0.0625,1,16
c4b58bc4e0c041a57694af084f861089,0.0625,1,16
b43df58bf170b0b8adb59485d39665cd,0.0625,1,16
5ccd1662e749286b58079ad42f1dc4a2,0.0625,1,16
62ff6d62f83bd52038e08d7ad3681435,0.0625,1,16
9313c872d9b689999b819fd2b2c7502a,0.0625,1,16
faf4ea63a895d8965f1df8c8fdbb9458,0.0625,1,16
0773d4d2511c3f79d206961290bf37fb,0.0625,1,16
9dca193df5d02fa1de58b550ded7f60f,0.0625,1,16
76b739d7d89416f18a5dcdf12da4ab86,0.0625,1,16
4970f955c079c27452637b5e8fea3c04,0.0625,1,16
a2ef223d772009b348edafa8aa062be9,0.0625,1,16
38dc8489a423de9187c12a0e32b86a54,0.0625,1,16
53a9ca0ea6725b1dc443339895e79303,0.0625,1,16
5372d8d4932bdf1de69d8ea3cfb5e6e8,0.0625,1,16
a18935632821c24f67a48b09e6524df5,0.0625,1,16
23d5df8d7b8336b8c268dcbb19c7a81b,0.0625,1,16
9d89bb8181d50b349fc01893f636e9c2,0.0625,1,16
384d59f6c7a9925725015e8438669aa8,0.0625,1,16
6e40ba56285d45acc9ae6da59a113d1d,0.0625,1,16
2a7060cc238fd8401fd9f37fb8e1fdd2,0.0625,1,16
455b2ca8d0eabe3fd52aeee3cf878c8a,0.0625,1,16
9d718ce554851d4321fd9fcc364b469d,0.0625,1,16
040fd15ac7d631105736febdc146eed5,0.0625,1,16
f06d0329fb741f377ee6d5c02d3daa3f,0.0625,1,16
2721e8cf6644526a46c5301adcede16f,0.0625,1,16
43c3d3b743952175e1a86c1085d68a22,0.125,1,8
ebbe64028786026b2802d9b414046556,0.125,1,8
a94987752838f71c7651bd5719658e2e,0.125,1,8
066e9b5f5ce7185f6ee52c9a8ca11cb9,0.125,1,8
b72f1e20f3ffebb308098b02b5bf895e,0.125,1,8
aa242d00995fac59e2a97b7f33a27d31,0.125,1,8
1fdbffb892afb6829d05361fafc63b86,0.125,1,8
73ed04250d7d2c6e510675a2b565a372,0.125,1,8
5751c819f6bd1423f436f95c3295bc9c,0.125,1,8
94d5497650d3aaf24ded72a0b2e0cd85,0.125,1,8
0508026e69d7a5f548b608f684711ad7,0.125,1,8
